Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12277.0438,NA,6.64470000000000,6.82740000000000,0.14300000000000,0.58770000000000,0.6603,NA,12270.5445,6.6423,6.4993,0.1430,0.2442,6.8428,0.7963,6.0465,-0.0661,12270.5445,1.7693,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12283.7734,NA,6.72960000000000,6.54050000000000,0.13960000000000,0.46440000000000,0.4712,NA,12277.1868,6.7262,6.5866,0.1396,0.4447,6.6063,0.7230,5.8833,0.1018,12277.1868,1.3097,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12290.2787,NA,6.50530000000000,6.53620000000000,0.16250000000000,0.49250000000000,0.5021,NA,12283.9130,6.5282,6.3657,0.1625,0.3248,6.5334,0.6819,5.8515,0.1900,12283.9130,1.3432,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12296.9311,NA,6.65240000000000,6.70760000000000,0.13370000000000,0.54810000000000,0.5573,NA,12290.4412,6.6236,6.4899,0.1337,0.3300,6.7080,0.7276,5.9804,-0.1794,12290.4412,2.0527,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12303.6903,NA,6.75920000000000,6.65330000000000,0.17610000000000,0.44120000000000,0.4514,NA,12297.0648,6.8016,6.6255,0.1761,0.4144,6.6523,0.6716,5.9807,-0.0297,12297.0648,1.7033,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12310.4253,NA,6.73500000000000,6.94150000000000,0.15210000000000,0.64990000000000,0.6579,NA,12303.8664,6.7110,6.5589,0.1521,0.2651,6.9437,0.8824,6.0613,-0.1399,12303.8664,1.6449,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12317.0324,NA,6.60710000000000,6.43680000000000,0.13510000000000,0.39650000000000,0.4876,NA,12310.5774,6.5901,6.4550,0.1351,0.4978,6.3537,0.5891,5.7646,0.2742,12310.5774,1.5260,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12323.6711,NA,6.63870000000000,6.60110000000000,0.12900000000000,0.38110000000000,0.4500,NA,12317.1675,6.6326,6.5036,0.1290,0.2614,6.6233,0.5857,6.0376,-0.0110,12317.1675,1.1748,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12330.4115,NA,6.74040000000000,6.79110000000000,0.15570000000000,0.49000000000000,0.5007,NA,12323.8001,6.7671,6.6114,0.1557,0.2521,6.8493,0.7233,6.1260,-0.1585,12323.8001,1.4721,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12337.0238,NA,6.61230000000000,6.85220000000000,0.15030000000000,0.66310000000000,0.7406,NA,12330.5672,6.6069,6.4566,0.1503,0.3343,6.7854,0.8687,5.9167,-0.0851,12330.5672,1.8295,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12343.9846,NA,6.96080000000000,6.73660000000000,0.14140000000000,0.50690000000000,0.5164,NA,12337.1741,6.9519,6.8105,0.1414,0.5128,6.8046,0.7985,6.0061,-0.1297,12337.1741,2.0632,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12350.4087,NA,6.42410000000000,6.37520000000000,0.14460000000000,0.38930000000000,0.4675,NA,12344.1260,6.4273,6.2827,0.1446,0.3655,6.3065,0.6099,5.6966,0.5767,12344.1260,1.3670,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12356.9897,NA,6.58100000000000,6.55650000000000,0.12960000000000,0.43430000000000,0.4430,NA,12350.5533,6.5660,6.4364,0.1296,0.2447,6.6260,0.6645,5.9615,-0.1292,12350.5533,1.4985,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12363.6425,NA,6.65280000000000,6.70600000000000,0.15010000000000,0.48640000000000,0.4962,NA,12357.1193,6.6733,6.5232,0.1501,0.3047,6.7049,0.6875,6.0174,-0.1400,12357.1193,1.7037,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12370.6087,NA,6.96620000000000,6.91270000000000,0.17560000000000,0.43020000000000,0.4427,NA,12363.7926,6.9917,6.8161,0.1756,0.3363,6.9100,0.6931,6.2169,-0.2394,12363.7926,2.1110,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12377.2620,NA,6.65330000000000,6.88120000000000,0.15270000000000,0.59190000000000,0.6706,NA,12370.7843,6.6304,6.4777,0.1527,0.2546,6.8150,0.8336,5.9814,0.1105,12370.7843,2.4918,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12383.8087,NA,6.54670000000000,6.28290000000000,0.17880000000000,0.35220000000000,0.4068,NA,12377.4147,6.5728,6.3940,0.1788,0.4392,6.3070,0.5802,5.7268,0.3475,12377.4147,2.2753,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12390.9442,NA,7.13550000000000,7.12330000000000,0.20880000000000,0.38480000000000,0.3946,NA,12383.9875,7.1655,6.9567,0.2088,0.1734,7.1681,0.7251,6.4430,-0.5505,12383.9875,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12396.9392,NA,5.99500000000000,6.04450000000000,0.23960000000000,0.43540000000000,0.4441,NA,12391.1530,6.0258,5.7862,0.2396,0.1760,6.0456,0.6735,5.3721,1.1210,12391.1530,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12403.5903,NA,6.65110000000000,6.65610000000000,0.18000000000000,0.44160000000000,0.4491,NA,12397.1788,6.5915,6.4115,0.1800,0.1958,6.6573,0.6693,5.9880,-0.6303,12397.1788,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12410.2069,NA,6.61660000000000,6.66740000000000,0.14210000000000,0.40900000000000,0.4999,NA,12403.7703,6.5787,6.4366,0.1421,0.2616,6.5840,0.6081,5.9759,-0.0759,12403.7703,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12416.8998,NA,6.69290000000000,6.61700000000000,0.15880000000000,0.35370000000000,0.4240,NA,12410.3490,6.7096,6.5508,0.1588,0.2669,6.6376,0.5860,6.0516,-0.0383,12410.3490,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12423.5174,NA,6.61760000000000,6.65440000000000,0.15790000000000,0.45170000000000,0.4608,NA,12417.0586,6.6167,6.4588,0.1579,0.1949,6.7156,0.7408,5.9748,0.0552,12417.0586,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12430.1464,NA,6.62900000000000,6.78320000000000,0.15490000000000,0.50920000000000,0.6150,NA,12423.6753,6.6260,6.4711,0.1549,0.2938,6.6865,0.6915,5.9950,-0.1665,12423.6753,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12436.9342,NA,6.78780000000000,6.87670000000000,0.17040000000000,0.62240000000000,0.7039,NA,12430.3013,6.8033,6.6329,0.1704,0.3543,6.9010,0.8664,6.0346,-0.2507,12430.3013,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12443.6011,NA,6.66690000000000,6.42230000000000,0.18930000000000,0.44500000000000,0.4593,NA,12437.1046,6.6858,6.4965,0.1893,0.4520,6.4895,0.6893,5.8002,0.3810,12437.1046,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12450.2248,NA,6.62370000000000,6.63480000000000,0.13150000000000,0.46310000000000,0.4704,NA,12443.7904,6.5659,6.4344,0.1315,0.2557,6.6418,0.6572,5.9846,0.0510,12443.7904,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12456.9924,NA,6.76760000000000,6.87230000000000,0.18450000000000,0.49890000000000,0.5751,NA,12450.3563,6.8206,6.6361,0.1845,0.3316,6.8034,0.7828,6.0206,-0.3064,12450.3563,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12463.5591,NA,6.56670000000000,6.47590000000000,0.15050000000000,0.47570000000000,0.4843,NA,12457.1769,6.5327,6.3822,0.1505,0.3144,6.5435,0.6788,5.8647,0.3447,12457.1769,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12470.2903,NA,6.73120000000000,6.67240000000000,0.14830000000000,0.41610000000000,0.4255,NA,12463.7096,6.7290,6.5807,0.1483,0.3252,6.6716,0.6883,5.9833,-0.1397,12463.7096,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12476.8687,NA,6.57840000000000,6.64200000000000,0.14470000000000,0.48020000000000,0.4891,NA,12470.4386,6.5748,6.4301,0.1447,0.2678,6.6425,0.6857,5.9568,0.0870,12470.4386,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12483.5351,NA,6.66640000000000,6.63690000000000,0.18540000000000,0.45020000000000,0.4596,NA,12477.0134,6.7071,6.5217,0.1854,0.3355,6.6364,0.6675,5.9689,-0.0621,12477.0134,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12490.1823,NA,6.64720000000000,6.83050000000000,0.16780000000000,0.63420000000000,0.6429,NA,12483.7205,6.6296,6.4618,0.1678,0.2648,6.8312,0.8306,6.0006,-0.1234,12483.7205,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12496.8056,NA,6.62330000000000,6.51200000000000,0.13710000000000,0.43330000000000,0.5316,NA,12490.3501,6.5926,6.4555,0.1371,0.4664,6.4224,0.6350,5.7874,0.1176,12490.3501,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12503.6785,NA,6.87290000000000,6.76550000000000,0.14500000000000,0.41600000000000,0.4242,NA,12496.9427,6.8808,6.7358,0.1450,0.2962,6.8556,0.6923,6.1633,-0.1729,12496.9427,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12510.1814,NA,6.50290000000000,6.58910000000000,0.15680000000000,0.50010000000000,0.5104,NA,12503.8235,6.5147,6.3579,0.1568,0.2710,6.5870,0.6996,5.8874,0.2917,12503.8235,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12516.8417,NA,6.66030000000000,6.61110000000000,0.13240000000000,0.45380000000000,0.4612,NA,12510.3382,6.6359,6.5035,0.1324,0.3433,6.6140,0.6527,5.9613,-0.0964,12510.3382,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12523.6164,NA,6.77470000000000,7.12780000000000,0.15160000000000,0.80370000000000,0.8143,NA,12516.9741,6.7939,6.6423,0.1516,0.3214,7.1246,1.0346,6.0900,-0.4919,12516.9741,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12530.2474,NA,6.63100000000000,6.35020000000000,0.14490000000000,0.52620000000000,0.5335,NA,12523.7680,6.6243,6.4794,0.1449,0.6521,6.3535,0.7494,5.6041,0.4437,12523.7680,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12536.9265,NA,6.67910000000000,6.63080000000000,0.13730000000000,0.47620000000000,0.4852,NA,12530.3923,6.6715,6.5342,0.1373,0.3813,6.6291,0.6832,5.9459,-0.0065,12530.3923,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,12543.6636,NA,6.73710000000000,6.77690000000000,0.16180000000000,0.51600000000000,0.5250,NA,12537.0638,6.7616,6.5998,0.1618,0.3389,6.7769,0.7710,6.0059,-0.1054,12537.0638,NA,NA
