Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,187.6640,NA,7.25720000000000,4.16650000000000,0.18620000000000,0.64740000000000,5.8254,NA,180.5500,7.3002,7.1140,0.1862,6.7755,0.9859,0.9664,0.0195,2.6041,180.5500,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,193.7845,NA,6.12050000000000,8.33630000000000,0.13300000000000,0.35850000000000,8.0412,NA,187.8502,6.0673,5.9343,0.1330,5.6933,0.5995,0.5810,0.0185,-1.0361,187.8502,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,200.3073,NA,6.52280000000000,6.96880000000000,0.08290000000000,0.41500000000000,8.4872,NA,193.9175,6.4727,6.3898,0.0829,6.2038,0.6010,0.5843,0.0167,-0.9015,193.9175,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,206.9718,NA,6.66450000000000,5.52980000000000,0.10410000000000,0.57470000000000,7.3525,NA,200.3902,6.6857,6.5816,0.1041,6.4190,0.7373,0.7212,0.0161,0.9429,200.3902,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,214.0106,NA,7.03880000000000,8.35560000000000,0.16870000000000,0.39260000000000,8.6693,NA,207.0759,7.1034,6.9347,0.1687,6.6167,0.7106,0.6897,0.0209,-1.6699,207.0759,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,220.4803,NA,6.46970000000000,4.15560000000000,0.09160000000000,0.43200000000000,6.3552,NA,214.1793,6.3926,6.3010,0.0916,6.1349,0.5981,0.5815,0.0166,2.9478,214.1793,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,227.0208,NA,6.54050000000000,8.31840000000000,0.09720000000000,0.35600000000000,8.1331,NA,220.5719,6.5461,6.4489,0.0972,6.1975,0.6074,0.5893,0.0181,-1.9258,220.5719,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,233.6787,NA,6.65790000000000,7.00720000000000,0.11210000000000,0.43770000000000,8.4824,NA,227.1180,6.6728,6.5607,0.1121,6.4007,0.5977,0.5820,0.0157,-0.4611,227.1180,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,240.7653,NA,7.08660000000000,5.50020000000000,0.08340000000000,0.45880000000000,6.8960,NA,233.7908,7.0579,6.9745,0.0834,6.7058,0.7275,0.7124,0.0151,1.1726,233.7908,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,246.9626,NA,6.19730000000000,8.33000000000000,0.09040000000000,0.45560000000000,9.0287,NA,240.8487,6.2043,6.1139,0.0904,5.9642,0.6053,0.5876,0.0177,-1.2721,240.8487,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,253.5988,NA,6.63620000000000,4.16470000000000,0.08540000000000,0.69260000000000,6.5572,NA,247.0530,6.6312,6.5458,0.0854,6.3878,0.8506,0.8339,0.0167,2.0396,247.0530,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,260.3030,NA,6.70420000000000,8.33410000000000,0.10750000000000,0.39350000000000,8.1871,NA,253.6842,6.7263,6.6188,0.1075,6.3919,0.6204,0.6033,0.0171,-1.7029,253.6842,NA,NA
